"3682632","Envigado","-75.58333","6.16667"
"3969091","6","630000000","100","VENDO APTO EN ENVIGADO CERCA A LA ESTACION DEL METRO Y AL EXITO."
"4120859","5","560000000","123","Antioquia - Envigado - Loma Del Escobero"
"4122415","5","480000000","87","Venta Apartamento Envigado Zuñiga"
"4124023","5","940000000","174","Antioquia - Envigado - Loma Las Brujas"
"3917122","5","295000000","97","Venta de Apartamento en la Loma del Escobero"
"4306641","5","680000000","127","Antioquia - Envigado - Loma De Las Brujas"
"4306716","4","480000000","100","Apartamento en venta en Envigado el Chocho"
"4306724","5","470000000","87","Venta Apartamento Envigado Zuñiga"
"4275180","3","200000000","56","Palmeras en Envigado. 55.6 M2"
"4272976","4","1060000000","166","Antioquia - Envigado - El Chocho"
"4272977","5","2400000000","400","Antioquia - Envigado - El Chocho"
"4275730","3","260000000","69","Apartamento para la venta en Envigado (Gualandayes)"
"4275873","4","510000000","103","Apartamento venta otra parte Envigado"
"4276447","4","520000000","110","Antioquia - Envigado"
"4278737","5","1330000000","317","Casa en Venta en Envigado - Loma El Atravesado"
"4230826","4","432000000","87","Antioquia - Envigado - Las Antillas"
"4233263","5","470000000","79","Venta apartamento en el Esmeraldal - Envigado"
"4290865","5","530000000","110","Casa en Venta en Envigado - El Portal"
"4291937","5","450000000","94","Apartamento en Venta. Envigado, Otraparte."
"4292059","5","1550000000","500","VENDO CASA EN ENVIGADO SECTOR EL ESCOBERO"
"4292427","5","650000000","116","Apartamento en Venta en Envigado - El Chocho"
"4292483","5","950000000","230","Casa en Venta en Envigado - Loma Del Escobero"
"4292497","6","430000000","54","APARTAESTUDIO EN VENTA - SECTOR EL ESCOBERO, ENVIGADO COD: 24826"
"4292580","3","205000000","52","Antioquia - Envigado - La Mina"
"4292589","5","1200000000","286","Antioquia - Envigado - Transversal Intermedia"
"4292815","5","620000000","153","Apartamento en Venta en Envigado - Loma De Las Brujas"
"4293597","5","460000000","78","Venta apartamento en el Esmeraldal - Envigado"
